A	B	C	D
0	1.0	0.0	0.0
-109.98333335	200.06666669999635	-89.98333334999633	0.009999999999999796
-109.98333334999552	200.06666669999188	-89.98333334999636	0.009999999999999593
-109.98333334999556	200.06666669999186	-89.98333334999629	0.009999999999999593
-109.98333334999549	200.066666700023	-89.98333335002751	0.010000000000001327
-109.98333335003365	200.06666670006132	-89.98333335002765	0.010000000000003062
-109.98333335003379	200.0666667000612	-89.9833333500274	0.010000000000003062
-109.9833333500335	200.06666669999873	-89.9833333499652	0.009999999999999593
-109.98333334995749	200.06666669992268	-89.9833333499652	0.009999999999996123
-109.98333334995748	200.0666666999224	-89.98333334996495	0.009999999999996123
-109.98333334995718	200.06666669992237	-89.9833333499652	0.009999999999996123
-109.98333334995749	200.06666669992268	-89.9833333499652	0.009999999999996123
-109.98333334995748	200.0666666999224	-89.98333334996495	0.009999999999996123
-109.98333334995718	200.06666670004705	-89.98333335008984	0.010000000000003062
-109.98333335010982	200.06666670020024	-89.98333335009033	0.010000000000010001
-109.98333335011039	200.0666667002003	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019976	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670020024	-89.98333335009033	0.010000000000010001
-109.98333335011039	200.0666667002003	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019976	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670020024	-89.98333335009033	0.010000000000010001
-109.98333335011039	200.0666667002003	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019976	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670020024	-89.98333335009033	0.010000000000010001
-109.98333335011039	200.0666667002003	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.0666667002008	-89.9833333500909	0.010000000000010001
-109.98333335011098	200.06666670020093	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.0666667002008	-89.9833333500909	0.010000000000010001
-109.98333335011098	200.06666670020093	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.0666667002008	-89.9833333500909	0.010000000000010001
-109.98333335011098	200.06666670020093	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.0666667002008	-89.9833333500909	0.010000000000010001
-109.98333335011098	200.06666670020093	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666670019973	-89.98333335008984	0.010000000000010001
-109.98333335010982	200.06666669969997	-89.98333334959032	0.009999999999982245
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.0666666990913	-89.98333334959243	0.00999999999995449
-109.98333334950162	200.0666666990915	-89.98333334959032	0.00999999999995449
-109.9833333494993	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.9833333494993	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.9833333494993	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.9833333494993	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.9833333494993	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.9833333494993	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.9833333494993	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.9833333494993	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.9833333494993	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.9833333494993	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.9833333494993	200.0666666990913	-89.98333334959243	0.00999999999995449
-109.98333334950162	200.0666666990915	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.06666669908918	-89.98333334959032	0.00999999999995449
-109.98333334949929	200.0666666990913	-89.98333334959243	0.00999999999995449
-109.98333334950162	200.0666666990915	-89.98333334959032	0.00999999999995449
-109.9833333494993	200.06666669908918	-89.98333334959032	0.00999999999995449
